YXZIZIIIYZIIIIIIIIIIZ	(0.00489506+0j)
ZIIIIIIIZZIIIIIIIIIII	(-0.68104868+0j)
ZIIIIIIIZZIIIIIIIIIIZ	(-0.12113677+0j)
YIYIZIIIZZIIIIIIIIIII	(-0.15053644+0j)
YIYIZIIIZZIIIIIIIIIIZ	(-0.03621355+0j)
XIXZZIIIIIIIIIIIIIIII	(0.15053644+0j)
XIXZZIIIIIIIIIIIIIIIZ	(0.03621355+0j)
XIIIIIIIZZIIIIIIIIIII	(-0.04775306+0j)
XIIIIIIIZZIIIIIIIIIIZ	(-0.01704078+0j)
XZZIZIIIIIIIIIIIIIIII	(-0.04775306+0j)
XZZIZIIIIIIIIIIIIIIIZ	(-0.01704078+0j)
IIIIIIIZIIIIIIIIIIIII	(0.6901063+0j)
IIIIIIIZIIIIIIIIIIIIZ	(0.13316984+0j)
IYZIYIXXIIIIIIIIIIIII	(-0.16774896+0j)
IYZIYIXXIIIIIIIIIIIIZ	(-0.04342563+0j)
IXZIYIXYIIIIIIIIIIIII	(0.16774896+0j)
IXZIYIXYIIIIIIIIIIIIZ	(0.04342563+0j)
IIIIIIZZIIIIIIIIIIIII	(0.67907508+0j)
IIIIIIZZIIIIIIIIIIIIZ	(0.15361938+0j)
IIIIIZIIIIIIIIIIIIIII	(0.67907508+0j)
IIIIIZIIIIIIIIIIIIIIZ	(0.15361938+0j)
IIIIZZZIIIIIIIIIIIIII	(0.51555259+0j)
IIIIZZZIIIIIIIIIIIIIZ	(0.16252852+0j)
IIIZIIIIIIIIIIIIIIIII	(0.51555259+0j)
IIIZIIIIIIIIIIIIIIIIZ	(0.16252852+0j)
IIZZIIIIIIIIIIIIIIIII	(0.3144803+0j)
IIZZIIIIIIIIIIIIIIIIZ	(0.13031575+0j)
ZIXZZIIIIIIIIIIIIIIII	(0.11341507+0j)
ZIXZZIIIIIIIIIIIIIIIZ	(0.02573612+0j)
IZXIIIIIIIIIIIIIIIIII	(-0.11341507+0j)
IZXIIIIIIIIIIIIIIIIIZ	(-0.02573612+0j)
IZIIIIIIIIIIIIIIIIIII	(0.22735338+0j)
IZIIIIIIIIIIIIIIIIIIZ	(0.12975518+0j)
ZZZIZIIIIIIIIIIIIIIII	(0.16393495+0j)
ZZZIZIIIIIIIIIIIIIIIZ	(0.20075217+0j)
IIIIIIIIIIIIIIIIIIYYX	(0.0796991+0j)
IIIIIIIIIIIIIIIIIIYXY	(-0.00134446+0j)
IIIIIIIIIIIIIIIIIIXYY	(-0.0796991+0j)
IIIIIIIIIIIIIIIIIIXXX	(-0.00134446+0j)
IIIZZIIZIIIZIIZIXXIXX	(0.00810969+0j)
IIIZZIIZIIIZIIZIXXIYY	(-0.00347277+0j)
IIIZZIIZIIIZIIZIXYIXY	(0.00810969+0j)
IIIZZIIZIIIZIIZIXYIYX	(0.00347277+0j)
IIIIIIIIIIIYYZIIIIIXX	(0.04270484+0j)
IIIIIIIIIIIYYZIIIIIYY	(-0.00360672+0j)
IIIIIIIIIIIYXZIIIIIXY	(-0.04270484+0j)
IIIIIIIIIIIYXZIIIIIYX	(-0.00360672+0j)
IIIZZIIZIIIZIIZIIZXIX	(0.02888156+0j)
IIIIIIIIIIIIIIIIIIXZX	(0.02892631+0j)
IIIZZIIZIIIZIIZIIZXZX	(-0.02892631+0j)
IIIIIIIIIIIIIIIIIIXIX	(-0.02888156+0j)
IIIIIIIIIIIYIYIIIIXIX	(0.03127623+0j)
IIIIIIIIIIIYIXZIIIYIX	(-0.03129408+0j)
IIIIIIIIIIIYIYIIIIXZX	(-0.03129408+0j)
IIIIIIIIIIIYIXZIIIYZX	(0.03127623+0j)
IIIIIIIIIIIXIIIIIIXIX	(-0.02913133+0j)
IIIIIIIIIIIYZZIIIIYIX	(-0.02901297+0j)
IIIIIIIIIIIXIIIIIIXZX	(0.02901297+0j)
IIIIIIIIIIIYZZIIIIYZX	(0.02913133+0j)
IIIZZIIZIIIZIIZIXXZIX	(0.03737886+0j)
IIIIIIIIIIIIIIIIXXIZX	(0.0374944+0j)
IIIZZIIZIIIZIIZIXXZZX	(-0.0374944+0j)
IIIIIIIIIIIIIIIIXXIIX	(-0.03737886+0j)
IIIIIIIIIIIYYZIIIIZIX	(0.02233647+0j)
IIIZZIIZIIIXXZZIIZIZX	(-0.02245868+0j)
IIIIIIIIIIIYYZIIIIZZX	(-0.02245868+0j)
IIIZZIIZIIIXXZZIIZIIX	(0.02233647+0j)
IIIZZIIZIIIXIYZIXYIZX	(0.00266051+0j)
IIIZZIIZIIIXIXIIXXIZX	(0.00270713+0j)
IIIZZIIZIIIXIYZIXYIIX	(-0.00270713+0j)
IIIZZIIZIIIXIXIIXXIIX	(-0.00266051+0j)
IIIZZIIZIIIYIIZIXYIZX	(0.04168965+0j)
IIIZZIIZIIIXZZZIXXIZX	(0.04138489+0j)
IIIZZIIZIIIYIIZIXYIIX	(-0.04138489+0j)
IIIZZIIZIIIXZZZIXXIIX	(-0.04168965+0j)
IIIZZIIZIIIIIIZIXIIZX	(0.054847+0j)
IIIIIIIIIIIIIIIZXIIZX	(-0.05467578+0j)
IIIZZIIZIIIIIIZIXIIIX	(-0.05467578+0j)
IIIIIIIIIIIIIIIZXIIIX	(0.054847+0j)
IIIZZIIZIIIXIXXIXIIZX	(0.01321179+0j)
IIIZZIIZIIIXIXYIYZIZX	(0.01317055+0j)
IIIZZIIZIIIXIXXIXIIIX	(-0.01317055+0j)
IIIZZIIZIIIXIXYIYZIIX	(-0.01321179+0j)
IIIZZIIZIIIIIIZXZZIZX	(0.01321179+0j)
IIIIIIIIIIIIIIIXIIIZX	(-0.01317055+0j)
IIIZZIIZIIIIIIZXZZIIX	(-0.01317055+0j)
IIIIIIIIIIIIIIIXIIIIX	(0.01321179+0j)
IIIZZIIZIIIXIXXXZZIZX	(-0.054847+0j)
IIIZZIIZIIIXIXYYZZIZX	(-0.05467578+0j)
IIIZZIIZIIIXIXXXZZIIX	(0.05467578+0j)
IIIZZIIZIIIXIXYYZZIIX	(0.054847+0j)
IIIIIIIIIIIIYYZIIIIZX	(0.03635304+0j)
IIIIIIIIIIIIXXIIIIIZX	(0.0364028+0j)
IIIIIIIIIIIIYYZIIIIIX	(-0.0364028+0j)
IIIIIIIIIIIIXXIIIIIIX	(-0.03635304+0j)
IIIIIIIIIIIZXZIIIIIZX	(0.04064931+0j)
IIIIIIIIIIIIXIIIIIIZX	(-0.04032758+0j)
IIIIIIIIIIIZXZIIIIIIX	(-0.04032758+0j)
IIIIIIIIIIIIXIIIIIIIX	(0.04064931+0j)
IIIIIIIIIZXIIIIIIIIZX	(0.38238124+0j)
IIIIIIIIIIXIIIIIIIIZX	(-0.38238124+0j)
IIIIIIIIIZXIIIIIIIIIX	(-0.38238124+0j)
IIIIIIIIIIXIIIIIIIIIX	(0.38238124+0j)
ZIIIIIIIIXXIIIIIIIIZX	(-0.02775498+0j)
IIIIIIIIZYYIIIIIIIIZX	(0.02775498+0j)
ZIIIIIIIIXXIIIIIIIIIX	(0.02775498+0j)
IIIIIIIIZYYIIIIIIIIIX	(-0.02775498+0j)
YIYIZIIIIXXIIIIIIIIZX	(-0.04050723+0j)
YIXZZIIIIXYIIIIIIIIZX	(0.04050723+0j)
YIYIZIIIIXXIIIIIIIIIX	(0.04050723+0j)
YIXZZIIIIXYIIIIIIIIIX	(-0.04050723+0j)
XIIIIIIIIXXIIIIIIIIZX	(0.02260216+0j)
YZZIZIIIIXYIIIIIIIIZX	(0.02260216+0j)
XIIIIIIIIXXIIIIIIIIIX	(-0.02260216+0j)
YZZIZIIIIXYIIIIIIIIIX	(-0.02260216+0j)
IIIIIIIIYYZIIIIIIIIZX	(0.04635235+0j)
IIIIIIIIXXIIIIIIIIIZX	(0.04635235+0j)
IIIIIIIIYYZIIIIIIIIIX	(-0.04635235+0j)
IIIIIIIIXXIIIIIIIIIIX	(-0.04635235+0j)
YIIIXIXYIXZIIIIIIIIZX	(-0.00228342+0j)
YIIIXIXXIYIIIIIIIIIZX	(0.00228342+0j)
YIIIXIXYIXZIIIIIIIIIX	(0.00228342+0j)
YIIIXIXXIYIIIIIIIIIIX	(-0.00228342+0j)
YYZIZIIIIXZIIIIIIIIZX	(0.01811873+0j)
YXZIZIIIIYIIIIIIIIIZX	(-0.01811873+0j)
YYZIZIIIIXZIIIIIIIIIX	(-0.01811873+0j)
YXZIZIIIIYIIIIIIIIIIX	(0.01811873+0j)
ZIIIIIIIXZIIIIIIIIIZX	(0.0332303+0j)
IIIIIIIIXIIIIIIIIIIZX	(0.0332303+0j)
ZIIIIIIIXZIIIIIIIIIIX	(-0.0332303+0j)
IIIIIIIIXIIIIIIIIIIIX	(-0.0332303+0j)
YIYIZIIIXZIIIIIIIIIZX	(0.03797621+0j)
YIXZZIIIYZIIIIIIIIIZX	(-0.03797621+0j)
YIYIZIIIXZIIIIIIIIIIX	(-0.03797621+0j)
YIXZZIIIYZIIIIIIIIIIX	(0.03797621+0j)
XIIIIIIIXZIIIIIIIIIZX	(-0.03375704+0j)
YZZIZIIIYZIIIIIIIIIZX	(-0.03375704+0j)
XIIIIIIIXZIIIIIIIIIIX	(0.03375704+0j)
YZZIZIIIYZIIIIIIIIIIX	(0.03375704+0j)
YIIIXIXYZZIIIIIIIIIZX	(0.0382371+0j)
XIIIXIXXIIIIIIIIIIIZX	(-0.0382371+0j)
YIIIXIXYZZIIIIIIIIIIX	(-0.0382371+0j)
XIIIXIXXIIIIIIIIIIIIX	(0.0382371+0j)
YYZIZIIIZZIIIIIIIIIZX	(0.02544815+0j)
XXZIZIIIIIIIIIIIIIIZX	(-0.02544815+0j)
YYZIZIIIZZIIIIIIIIIIX	(-0.02544815+0j)
XXZIZIIIIIIIIIIIIIIIX	(0.02544815+0j)
IIYIYIXXIIIIIIIIIIIZX	(-0.00259821+0j)
IIXZYIXYIIIIIIIIIIIZX	(0.00259821+0j)
IIYIYIXXIIIIIIIIIIIIX	(0.00259821+0j)
IIXZYIXYIIIIIIIIIIIIX	(-0.00259821+0j)
ZIIIXIXXIIIIIIIIIIIZX	(0.04482472+0j)
IZZIYIXYIIIIIIIIIIIZX	(0.04482472+0j)
ZIIIXIXXIIIIIIIIIIIIX	(-0.04482472+0j)
IZZIYIXYIIIIIIIIIIIIX	(-0.04482472+0j)
IIIIZIXZIIIIIIIIIIIZX	(0.05753745+0j)
